datasetid;recordid;record_timestamp;titre;commune;auteur;code_insee;nombre_de_prets_2017
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;7ada3574d686e43f85d4366dd450fcb96d8ceb72;2018-07-11T14:46:04+02:00;Terri;Cesson-Sévigné;Jacobs Azazel;35051.0;6.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;718c31251c5fd369c31421250df0859d8be9fd0d;2018-07-11T14:46:04+02:00;La beauté du geste;Cesson-Sévigné;Holofcener Nicole;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;9c315b3498d6bae641fa762b0ff2ce956efe0d56;2018-07-11T14:46:04+02:00;la Visite de la fanfare;Cesson-Sévigné;Kolirin Eran;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;79a1df56cabb172922adf734e32064b357fc7d96;2018-07-11T14:46:04+02:00;Good Bye Lenin !;Cesson-Sévigné;Becker Wolfgang;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;3929417ed57dd69124bc48a4ad116b58513ded2d;2018-07-11T14:46:04+02:00;Où va la nuit;Cesson-Sévigné;Provost Martin;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;a21a8bf11e4c9823b194e35e0a53728e197becda;2018-07-11T14:46:04+02:00;Les Misérables;Cesson-Sévigné;Lelouch Claude;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;ae7f57da3905f50a90523eb663858439b85062db;2018-07-11T14:46:04+02:00;La Buena Vida;Cesson-Sévigné;Wood Andrès;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;7be7a3ba502baecb4276f7ba7d7b256e216ac899;2018-07-11T14:46:04+02:00;Sur la route;Cesson-Sévigné;Salles Walter;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;39954e73671269c94404610e95c956df63ecd3fc;2018-07-11T14:46:04+02:00;Imagine;Cesson-Sévigné;Jakimowski Andrzej;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;94294b987144244779515e5dd1951200d812840b;2018-07-11T14:46:04+02:00;Oseam;Cesson-Sévigné;Sung Baek-yeop;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;f1cf9756252e757efc60a9f8e7c5d923afbbabb1;2018-07-11T14:46:04+02:00;La Rafle;Cesson-Sévigné;Bosch Rose;35051.0;7.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;805207a8307bcec2563bd359c8f3a73c7df5480f;2018-07-11T14:46:04+02:00;Toutes les filles sont folles !;Cesson-Sévigné;Pouzadoux Pascale;35051.0;2.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;8624c97a98aaa34382126dcbc9387e5d8596376a;2018-07-11T14:46:04+02:00;Parlez-moi de la pluie;Cesson-Sévigné;Jaoui Agnès;35051.0;15.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;f8822db7c9dfcf90b562d989d95656f207bd817a;2018-07-11T14:46:04+02:00;Cendrillon au far west;Cesson-Sévigné;Herold Pascal;35051.0;14.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;5dbe74c140049ed9839f4f76186ce43c57d04c5c;2018-07-11T14:46:04+02:00;Les délices de Tokyo;Cesson-Sévigné;Kawase Naomi;35051.0;14.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;ab3bea0ed16fe55a669f076d7256d914026ac8a1;2018-07-11T14:46:04+02:00;12 years a slave;Cesson-Sévigné;McQueen Steve;35051.0;14.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;4212de1bde67e48bd685d13220f4f6e6278f09c4;2018-07-11T14:46:04+02:00;Les Suffragettes;Cesson-Sévigné;Gavron Sarah;35051.0;14.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;cad73c784192b8d8bd290531e344c389d2d23fc5;2018-07-11T14:46:04+02:00;Mommy;Cesson-Sévigné;Dolan Xavier;35051.0;17.0
