Commune;Code INSEE;Année;Sexe;Prénom;Nombre
Cesson-Sévigné;35051.0;2017;F;Joséphine;1.0
Cesson-Sévigné;35051.0;2017;F;Leïla;1.0
Cesson-Sévigné;35051.0;2017;F;Léna;1.0
Cesson-Sévigné;35051.0;2017;F;Lou;1.0
Cesson-Sévigné;35051.0;2017;F;Louise;1.0
Cesson-Sévigné;35051.0;2017;F;Lyanah;1.0
Cesson-Sévigné;35051.0;2017;F;Maelys;1.0
Cesson-Sévigné;35051.0;2017;F;Mbeugué;1.0
Cesson-Sévigné;35051.0;2017;F;Saada;1.0
Cesson-Sévigné;35051.0;2017;M;Badice;1.0
Cesson-Sévigné;35051.0;2017;M;Evan;1.0
Cesson-Sévigné;35051.0;2017;M;Fabio;1.0
Cesson-Sévigné;35051.0;2017;M;Issa;1.0
Cesson-Sévigné;35051.0;2017;M;Joshua;1.0
Cesson-Sévigné;35051.0;2017;M;Liam;1.0
Cesson-Sévigné;35051.0;2017;M;Mathéo;1.0
Cesson-Sévigné;35051.0;2017;M;Rayane;1.0
Cesson-Sévigné;35051.0;2017;M;Simon;1.0
Cesson-Sévigné;35051.0;2017;M;Tom;1.0
Cesson-Sévigné;35051.0;2017;M;Walid;1.0
Cesson-Sévigné;35051.0;2016;F;Emma;3.0
Cesson-Sévigné;35051.0;2016;M;Théo;2.0
Cesson-Sévigné;35051.0;2016;F;Amélia;1.0
Cesson-Sévigné;35051.0;2016;F;Arya;1.0
Cesson-Sévigné;35051.0;2016;F;Gihane;1.0
Cesson-Sévigné;35051.0;2016;F;Maëlyne;1.0
Cesson-Sévigné;35051.0;2016;F;Nathalie;1.0
Cesson-Sévigné;35051.0;2016;F;Pauline;1.0
Cesson-Sévigné;35051.0;2016;F;Zélie;1.0
Cesson-Sévigné;35051.0;2016;F;Zoé;1.0
Cesson-Sévigné;35051.0;2016;M;Anatole;1.0
Cesson-Sévigné;35051.0;2016;M;Hippolyte;1.0
Cesson-Sévigné;35051.0;2016;M;Hugo;1.0
Cesson-Sévigné;35051.0;2016;M;Ilyes;1.0
Cesson-Sévigné;35051.0;2016;M;Nelson;1.0
Cesson-Sévigné;35051.0;2016;M;Solan;1.0
Cesson-Sévigné;35051.0;2015;F;Anaé;1.0
Cesson-Sévigné;35051.0;2015;F;Clara;1.0
Cesson-Sévigné;35051.0;2015;F;Clémence;1.0
Cesson-Sévigné;35051.0;2015;F;Eloïse;1.0
Cesson-Sévigné;35051.0;2015;F;Léna;1.0
Cesson-Sévigné;35051.0;2015;F;Lina;1.0
Cesson-Sévigné;35051.0;2015;F;Lola;1.0
Cesson-Sévigné;35051.0;2015;F;Margaux;1.0
Cesson-Sévigné;35051.0;2015;F;Méline;1.0
Cesson-Sévigné;35051.0;2015;M;Adam;1.0
Cesson-Sévigné;35051.0;2015;M;Ali;1.0
Cesson-Sévigné;35051.0;2015;M;Allan;1.0
Cesson-Sévigné;35051.0;2015;M;Anatole;1.0
Cesson-Sévigné;35051.0;2015;M;Elimane;1.0
Cesson-Sévigné;35051.0;2015;M;Kaïs;1.0
Cesson-Sévigné;35051.0;2015;M;Léandre;1.0
Cesson-Sévigné;35051.0;2015;M;Lewis;1.0
Cesson-Sévigné;35051.0;2015;M;Liam;1.0
Cesson-Sévigné;35051.0;2015;M;Loévan;1.0
Cesson-Sévigné;35051.0;2015;M;Manoa;1.0
Cesson-Sévigné;35051.0;2015;M;Marceau;1.0
Cesson-Sévigné;35051.0;2015;M;Noé;1.0
Cesson-Sévigné;35051.0;2015;M;Thibault;1.0
Cesson-Sévigné;35051.0;2015;M;Wesley;1.0
Cesson-Sévigné;35051.0;2014;F;Loïs;2.0
Cesson-Sévigné;35051.0;2014;M;Martin;2.0
Cesson-Sévigné;35051.0;2014;M;Noah;2.0
Cesson-Sévigné;35051.0;2014;F;Eléonore;1.0
Cesson-Sévigné;35051.0;2014;F;Ellie;1.0
Cesson-Sévigné;35051.0;2014;F;Loane;1.0
Cesson-Sévigné;35051.0;2014;F;Margaux;1.0
Cesson-Sévigné;35051.0;2014;F;Sarah;1.0
Cesson-Sévigné;35051.0;2014;F;Sihann;1.0
Cesson-Sévigné;35051.0;2014;F;Tasnime;1.0
Cesson-Sévigné;35051.0;2014;M;Adam;1.0
Cesson-Sévigné;35051.0;2014;M;Hayden;1.0
Cesson-Sévigné;35051.0;2014;M;Ismaël;1.0
Cesson-Sévigné;35051.0;2014;M;Jules;1.0
Cesson-Sévigné;35051.0;2014;M;Julien;1.0
Cesson-Sévigné;35051.0;2014;M;Léon;1.0
Cesson-Sévigné;35051.0;2014;M;Malyk;1.0
Cesson-Sévigné;35051.0;2014;M;Mathys;1.0
Cesson-Sévigné;35051.0;2014;M;Nolan;1.0
Cesson-Sévigné;35051.0;2014;M;Raphaël;1.0
Cesson-Sévigné;35051.0;2014;M;Sacha;1.0
Cesson-Sévigné;35051.0;2014;M;Tyler;1.0
Cesson-Sévigné;35051.0;2013;F;Louise;3.0
Cesson-Sévigné;35051.0;2013;F;Arwen;1.0
Cesson-Sévigné;35051.0;2013;F;Clarisse;1.0
Cesson-Sévigné;35051.0;2013;F;Coline;1.0
Cesson-Sévigné;35051.0;2013;F;Éléna;1.0
Cesson-Sévigné;35051.0;2013;F;Katell;1.0
Cesson-Sévigné;35051.0;2013;F;Lina;1.0
Cesson-Sévigné;35051.0;2013;M;Fergus;1.0
Cesson-Sévigné;35051.0;2013;M;Ilyas;1.0
Cesson-Sévigné;35051.0;2012;F;Agathe;1.0
Cesson-Sévigné;35051.0;2012;F;Alwena;1.0
Cesson-Sévigné;35051.0;2012;F;Justine;1.0
Cesson-Sévigné;35051.0;2012;F;Line;1.0
Cesson-Sévigné;35051.0;2017;F;Sofia;2.0
Cesson-Sévigné;35051.0;2017;M;Milo;2.0
Cesson-Sévigné;35051.0;2017;M;Sandro;2.0
Cesson-Sévigné;35051.0;2017;F;Aliyah;1.0
Cesson-Sévigné;35051.0;2017;F;Élya;1.0
Cesson-Sévigné;35051.0;2017;F;Elysa;1.0
Cesson-Sévigné;35051.0;2017;F;Ema;1.0
Cesson-Sévigné;35051.0;2017;F;Émilie;1.0
Cesson-Sévigné;35051.0;2017;F;Hanae;1.0
Cesson-Sévigné;35051.0;2017;F;Jeanne;1.0
Cesson-Sévigné;35051.0;2017;F;Liz;1.0
Cesson-Sévigné;35051.0;2017;F;Mila;1.0
Cesson-Sévigné;35051.0;2017;F;Taïs;1.0
Cesson-Sévigné;35051.0;2017;M;Achille;1.0
Cesson-Sévigné;35051.0;2017;M;Aimé;1.0
Cesson-Sévigné;35051.0;2017;M;Alex;1.0
Cesson-Sévigné;35051.0;2017;M;Benjamin;1.0
Cesson-Sévigné;35051.0;2017;M;Germain;1.0
Cesson-Sévigné;35051.0;2017;M;Henri;1.0
Cesson-Sévigné;35051.0;2017;M;Louison;1.0
Cesson-Sévigné;35051.0;2017;M;Malo;1.0
Cesson-Sévigné;35051.0;2017;M;Marc;1.0
Cesson-Sévigné;35051.0;2017;M;Marin;1.0
Cesson-Sévigné;35051.0;2017;M;Matteo;1.0
Cesson-Sévigné;35051.0;2017;M;Maxime;1.0
Cesson-Sévigné;35051.0;2017;M;Naël;1.0
Cesson-Sévigné;35051.0;2017;M;Noah;1.0
Cesson-Sévigné;35051.0;2017;M;Sasha;1.0
Cesson-Sévigné;35051.0;2017;M;Swan;1.0
Cesson-Sévigné;35051.0;2017;M;Timothé;1.0
Cesson-Sévigné;35051.0;2017;M;Vadim;1.0
Cesson-Sévigné;35051.0;2016;F;Alice;3.0
Cesson-Sévigné;35051.0;2016;F;Charlotte;3.0
Cesson-Sévigné;35051.0;2016;M;Victor;2.0
Cesson-Sévigné;35051.0;2016;F;Agathe;1.0
Cesson-Sévigné;35051.0;2016;F;Anna;1.0
Cesson-Sévigné;35051.0;2016;F;Anne-Sophie;1.0
Cesson-Sévigné;35051.0;2016;F;Candice;1.0
Cesson-Sévigné;35051.0;2016;F;Cléa;1.0
Cesson-Sévigné;35051.0;2016;F;Elsa;1.0
Cesson-Sévigné;35051.0;2016;F;Eve;1.0
Cesson-Sévigné;35051.0;2016;F;Inès;1.0
Cesson-Sévigné;35051.0;2016;F;Lilia;1.0
Cesson-Sévigné;35051.0;2016;F;Loïs;1.0
Cesson-Sévigné;35051.0;2016;F;Meryem;1.0
Cesson-Sévigné;35051.0;2016;F;Mouhcinatou;1.0
Cesson-Sévigné;35051.0;2016;F;Océane;1.0
Cesson-Sévigné;35051.0;2016;M;Aaron;1.0
Cesson-Sévigné;35051.0;2016;M;Adam;1.0
Cesson-Sévigné;35051.0;2016;M;Amir;1.0
Cesson-Sévigné;35051.0;2016;M;Ansley;1.0
Cesson-Sévigné;35051.0;2016;M;Arthus;1.0
Cesson-Sévigné;35051.0;2016;M;Baptiste;1.0
Cesson-Sévigné;35051.0;2016;M;Eden;1.0
Cesson-Sévigné;35051.0;2016;M;Gabriel;1.0
Cesson-Sévigné;35051.0;2016;M;Louka;1.0
Cesson-Sévigné;35051.0;2016;M;Mattjieu;1.0
Cesson-Sévigné;35051.0;2016;M;Noé;1.0
